date_dec,ndec,ADEC,MDEC,md_dec,ndec_fem,ndec_hom,periode,weekday_dec,weekend
2018-03-04,11,2018,3,03-04,6,5,1,Sun,1
2018-03-05,9,2018,3,03-05,3,6,1,Mon,0
2018-03-06,9,2018,3,03-06,2,7,1,Tue,0
2018-03-07,9,2018,3,03-07,3,6,1,Wed,0
2018-03-08,10,2018,3,03-08,1,9,1,Thu,0
2018-03-09,10,2018,3,03-09,2,8,1,Fri,0
2018-03-10,13,2018,3,03-10,8,5,1,Sat,1
2018-03-11,10,2018,3,03-11,2,8,1,Sun,1
2018-03-12,15,2018,3,03-12,3,12,1,Mon,0
2018-03-13,4,2018,3,03-13,1,3,1,Tue,0
2018-03-14,9,2018,3,03-14,2,7,1,Wed,0
2018-03-15,8,2018,3,03-15,3,5,1,Thu,0
2018-03-16,4,2018,3,03-16,1,3,1,Fri,0
2018-03-17,12,2018,3,03-17,5,7,2,Sat,1
2018-03-18,16,2018,3,03-18,1,15,2,Sun,1
2018-03-19,8,2018,3,03-19,2,6,2,Mon,0
2018-03-20,11,2018,3,03-20,3,8,2,Tue,0
2018-03-21,6,2018,3,03-21,4,2,2,Wed,0
2018-03-22,3,2018,3,03-22,0,3,2,Thu,0
2018-03-23,10,2018,3,03-23,3,7,2,Fri,0
2018-03-24,12,2018,3,03-24,1,11,2,Sat,1
2018-03-25,12,2018,3,03-25,4,8,2,Sun,1
2018-03-26,6,2018,3,03-26,2,4,2,Mon,0
2018-03-27,7,2018,3,03-27,3,4,2,Tue,0
2018-03-28,4,2018,3,03-28,1,3,2,Wed,0
2018-03-29,15,2018,3,03-29,4,11,2,Thu,0
2018-03-30,7,2018,3,03-30,2,5,2,Fri,0
2018-03-31,16,2018,3,03-31,5,11,2,Sat,1
2018-04-01,17,2018,4,04-01,6,11,2,Sun,1
2018-04-02,10,2018,4,04-02,4,6,2,Mon,0
2018-04-03,10,2018,4,04-03,2,8,2,Tue,0
2018-04-04,9,2018,4,04-04,4,5,2,Wed,0
2018-04-05,13,2018,4,04-05,4,9,2,Thu,0
2018-04-06,13,2018,4,04-06,7,6,2,Fri,0
2018-04-07,9,2018,4,04-07,1,8,2,Sat,1
2018-04-08,17,2018,4,04-08,5,12,2,Sun,1
2018-04-09,6,2018,4,04-09,1,5,2,Mon,0
2018-04-10,8,2018,4,04-10,3,5,2,Tue,0
2018-04-11,14,2018,4,04-11,4,10,2,Wed,0
2018-04-12,12,2018,4,04-12,4,8,2,Thu,0
2018-04-13,12,2018,4,04-13,4,8,2,Fri,0
2018-04-14,10,2018,4,04-14,0,10,2,Sat,1
2018-04-15,10,2018,4,04-15,6,4,2,Sun,1
2018-04-16,10,2018,4,04-16,1,9,2,Mon,0
2018-04-17,4,2018,4,04-17,1,3,2,Tue,0
2018-04-18,8,2018,4,04-18,3,5,2,Wed,0
2018-04-19,3,2018,4,04-19,0,3,2,Thu,0
2018-04-20,10,2018,4,04-20,6,4,2,Fri,0
2018-04-21,15,2018,4,04-21,7,8,2,Sat,1
2018-04-22,13,2018,4,04-22,4,9,2,Sun,1
2018-04-23,2,2018,4,04-23,1,1,2,Mon,0
2018-04-24,8,2018,4,04-24,6,2,2,Tue,0
2018-04-25,7,2018,4,04-25,1,6,2,Wed,0
2018-04-26,9,2018,4,04-26,2,7,2,Thu,0
2018-04-27,10,2018,4,04-27,4,6,2,Fri,0
2018-04-28,11,2018,4,04-28,3,8,2,Sat,1
2018-04-29,6,2018,4,04-29,1,5,2,Sun,1
2018-04-30,6,2018,4,04-30,2,4,2,Mon,0
2018-05-01,10,2018,5,05-01,1,9,2,Tue,0
2018-05-02,12,2018,5,05-02,1,11,2,Wed,0
2018-05-03,8,2018,5,05-03,1,7,2,Thu,0
2018-05-04,10,2018,5,05-04,6,4,2,Fri,0
